Gene name	Human Protein Atlas ID	EntrezGene transcript name ID
TRIM39	HPA059496	
TRIM39	51120	
TRIM39	59496	
UBE2L6	CAB073407	
UBE2L6	HPA003328	
UBE2L6	3328	
UBE2L6	73407	
IFNGR2		
UBE2L6	73407	
IFNGR2	HPA001535	
UBE2L6	73407	
CCNY	HPA036290	
IFNGR2		
SERPINA6		
CCNY	HPA036290	
CCNY	36290	
TRIM39	51120	
IFNGR2		
TRIM39	HPA051120	
TRIM39	HPA059496	
TRIM39	51120	
TRIM39	59496	
HMOX2	CAB025464	
HMOX2	HPA040611	
TRIM39		
TRIM39	HPA051120	
TRIM39	HPA059496	
TRIM39	51120	
TRIM39	59496	
HMOX2	CAB025464	
HMOX2	HPA040611	
TRIM39		
TRIM39	HPA051120	
TRIM39	HPA059496	
TRIM39	51120	
TRIM39	59496	
TRIM39	51120	
TRIM39	HPA051120	
TRIM39	HPA059496	
TRIM39	51120	
TRIM39	59496	
SERPINA6	HPA017864	
SERPINA6		
HMOX2	CAB025464	
HMOX2	HPA040611	
GJD4	HPA038266	
GJD4	38266	
HMOX2	CAB025464	
HMOX2	HPA040611	
L2HGDH	65409	
HMOX2		
HMOX2		
HMOX2		
FZD8	HPA045025	
FZD8	HPA071142	
FZD8	45025	
FZD8	71142	
L2HGDH	HPA065409	
L2HGDH	HPA069708	
L2HGDH	65409	
L2HGDH	69708	
HMOX2		
L2HGDH	HPA065409	
L2HGDH	HPA069708	
L2HGDH	65409	
L2HGDH	69708	
HMOX2		
TSG101	4283	
TSG101	6161	
HMOX2	CAB025464	
HMOX2	HPA040611	
TSG101		
HMOX2		
L2HGDH		
TSG101		
HMOX2	CAB025464	
HMOX2	HPA040611	
L2HGDH		
HMOX2	CAB025464	
HMOX2	HPA040611	
PLCB2	9443	
SERPINA2		
L2HGDH		
TSG101	CAB004283	
TSG101	HPA006161	
TSG101	4283	
TSG101	6161	
HMOX2		
SERPINA2		
HMOX2	CAB025464	
HMOX2	HPA040611	
HMOX2	CAB025464	
HMOX2	HPA040611	
SERPINA2		
RPP21		
FZD9		
TMEM50B	CAB034199	
TMEM50B	HPA068995	
TMEM50B	CAB034199	
TMEM50B	HPA068995	
TMEM50B		
TMEM50B		
TMEM50B		
DUOX1	HPA023544	
DUOX1	23544	
PPP1R18	HPA044745	
PPP1R18	HPA051000	
DUOX1	HPA023544	
DUOX1	23544	
RPP21		
PPP1R18	HPA044745	
PPP1R18	HPA051000	
DUOX1		
RPP21		
RPP21		
SKOR1	40673	
DUOX1		
DUOX1	HPA023544	
DUOX1	23544	
SKOR1	40673	
KIR3DL2		
SKOR1	HPA040673	
SKOR1	40673	
KIR3DL2		
MUC20		
MUC20		
MUC20		
MUC20		
LY6G5C	HPA038690	
HIP1	CAB015334	
HIP1	CAB016402	
HIP1	HPA013606	
HIP1	HPA017964	
HIP1	13606	
HIP1	15334	
HIP1	16402	
HIP1	17964	
HIP1	CAB015334	
HIP1	CAB016402	
HIP1	HPA013606	
HIP1	HPA017964	
HIP1	13606	
HIP1	15334	
HIP1	16402	
HIP1	17964	
LY6G5C		
SKOR1	HPA040673	
SKOR1	40673	
HIP1	15334	
HIP1	16402	
HIP1	CAB015334	
HIP1	CAB016402	
HIP1	HPA013606	
HIP1	HPA017964	
HIP1	13606	
HIP1	15334	
HIP1	16402	
HIP1	17964	
HLA-DQB2		
HLA-DQB2		
HLA-DQB2		
UBR7	HPA000861	
HLA-DQB2		
UBR7		
UBR7		
UBR7		
ZSWIM3	HPA055692	
ZSWIM3	HPA060508	
ZSWIM3	55692	
ZSWIM3	60508	
TENT2	HPA054468	
TENT2	54468	
UBR7		
UBR7		
TENT2	54468	
UBR7		
GON7	HPA051832	
GON7		
AL110118.4		
AL110118.4		
TENT2	HPA054468	
TENT2	54468	
TMEM251		
TMEM251		
BMP15		
TENT2	HPA054468	
TENT2	54468	
TENT2	HPA054468	
TENT2	54468	
DNMT3L	HPA055234	
DNMT3L	HPA066780	
DNMT3L	55234	
DNMT3L	66780	
DNMT3L	HPA055234	
DNMT3L	HPA066780	
DNMT3L	55234	
DNMT3L	66780	
DNMT3L	55234	
DNMT3L	66780	
C20orf173		
THEMIS	HPA031422	
THEMIS	HPA031425	
C20orf173		
THEMIS	HPA031422	
THEMIS	HPA031425	
C20orf173		
C20orf173		
THEMIS		
THEMIS	HPA031422	
THEMIS	HPA031425	
TNFSF11	CAB009193	
TNFSF11	HPA045142	
TNFSF11	9193	
TNFSF11	45142	
TNFSF11	CAB009193	
TNFSF11	HPA045142	
TNFSF11	9193	
TNFSF11	45142	
TNFSF11	CAB009193	
TNFSF11	HPA045142	
TNFSF11	9193	
TNFSF11	45142	
TNFSF11	CAB009193	
TNFSF11	HPA045142	
TNFSF11	9193	
TNFSF11	45142	
TNFSF11	CAB009193	
TNFSF11	HPA045142	
TNFSF11	9193	
TNFSF11	45142	
ZSWIM1	HPA041147	
ZSWIM1	HPA046751	
ZSWIM1	41147	
ZSWIM1	46751	
ZSWIM1	HPA041147	
ZSWIM1	HPA046751	
ZSWIM1	41147	
ZSWIM1	46751	
SREK1	37673	
FAM20C	HPA019823	
FAM20C	19823	
HLA-B		
SREK1	HPA037673	
SREK1	HPA037674	
SREK1	HPA059332	
SREK1	37673	
SREK1	37674	
SREK1	59332	
FSHR		
FSHR		
FSHR		
FSHR		
GABBR1	HPA050483	
GABBR1	HPA058459	
SREK1		
AC008162.2	42483	
SREK1		
CT47A12	HPA042483	
CT47A12	42483	
SREK1	HPA037673	
SREK1	HPA037674	
SREK1	HPA059332	
SREK1	37673	
SREK1	37674	
SREK1	59332	
SREK1		
TSEN34	HPA041111	
TSEN34	HPA048208	
TSEN34	HPA041111	
TSEN34	HPA048208	
SREK1		
TSEN34	HPA041111	
TSEN34	HPA048208	
TSEN34		
PAN3	HPA028817	
PAN3	28817	
PAN3	28817	
TSEN34		
TSEN34		
ADAP1	HPA007033	
ADAP1	HPA012049	
ADAP1	7033	
ADAP1	12049	
ADAP1		
ADAP1	7033	
